Student ID,Age,Gender,Grade Level,Parental Education Level,Household Income,School Type,School Location,Average Exam Score,Attendance Rate,Internet Access at Home,Participation in Extracurricular Activities,Special Education Needs
S00061,8,Male,Grade 7,Bachelor's,<30k,Private,Urban,64.8,73.3,Yes,No,Yes
S00062,17,Female,Grade 5,Bachelor's,30k-60k,Public,Rural,84.4,83.2,Yes,No,No
S00063,9,Male,Grade 6,PhD,<30k,Private,Urban,90.4,83.4,Yes,No,No
S00064,9,Non-binary,Grade 3,High School,100k-150k,Public,Rural,77.5,97.1,No,Yes,No
S00065,12,Female,Grade 9,PhD,>150k,Public,Rural,68.4,77.6,No,Yes,No
S00066,10,Female,Grade 9,Bachelor's,100k-150k,Public,Urban,84.3,97.1,Yes,No,No
S00067,10,Female,Grade 8,Bachelor's,60k-100k,Public,Urban,77.9,77.9,Yes,No,No
S00068,17,Female,Grade 12,Master's,>150k,Private,Urban,80.1,71,No,No,Yes
S00069,16,Female,Grade 12,Master's,30k-60k,Private,Rural,67.8,99.5,No,No,Yes
S00070,13,Non-binary,Grade 10,PhD,100k-150k,Public,Urban,76.3,73,Yes,Yes,No
S00071,11,Non-binary,Grade 4,Master's,>150k,Public,Rural,50.9,94,No,No,No
S00072,15,Male,Grade 9,High School,100k-150k,Public,Urban,90.9,72.5,No,No,No
S00073,16,Male,Grade 3,High School,60k-100k,Private,Rural,90.9,86.2,Yes,Yes,No
S00074,11,Female,Grade 2,Bachelor's,<30k,Private,Urban,56.1,84.4,No,Yes,No
S00075,13,Male,Grade 1,Bachelor's,>150k,Private,Urban,56.1,99.2,No,No,No
S00076,13,Female,Grade 1,PhD,100k-150k,Private,Rural,95.7,72,Yes,Yes,Yes
S00077,14,Non-binary,Grade 3,High School,>150k,Private,Rural,93.2,88.5,No,Yes,No
S00078,17,Female,Grade 4,PhD,<30k,Public,Rural,81.6,78,Yes,Yes,Yes
S00079,6,Non-binary,Grade 8,Master's,>150k,Private,Rural,87.3,87.7,No,No,No
S00080,15,Non-binary,Grade 11,Master's,60k-100k,Private,Rural,91.7,80.1,No,No,No
S00081,13,Non-binary,Grade 12,PhD,>150k,Public,Urban,68.4,95.3,No,No,Yes
S00082,11,Male,Grade 7,High School,30k-60k,Private,Rural,79.1,91.9,Yes,No,No
S00083,8,Non-binary,Grade 12,High School,30k-60k,Public,Urban,57.4,99.5,Yes,No,Yes
S00084,9,Female,Grade 5,Bachelor's,100k-150k,Public,Urban,95,95.9,Yes,Yes,No
S00085,15,Male,Grade 6,Master's,60k-100k,Public,Rural,95.5,95.1,Yes,Yes,Yes
S00086,13,Male,Grade 2,Bachelor's,60k-100k,Public,Rural,72.2,96.4,No,No,Yes
S00087,15,Non-binary,Grade 1,Bachelor's,<30k,Private,Rural,68.6,85,No,Yes,No
S00088,15,Non-binary,Grade 12,High School,30k-60k,Private,Urban,60.9,84.7,No,Yes,No
S00089,9,Female,Grade 8,Master's,<30k,Public,Rural,88.6,97.9,Yes,Yes,No
S00090,12,Female,Grade 3,High School,>150k,Private,Rural,60.8,94.5,Yes,No,No
S00091,7,Non-binary,Grade 6,High School,60k-100k,Public,Rural,79.3,80.4,No,No,Yes
S00092,12,Male,Grade 4,PhD,100k-150k,Private,Rural,95,70.5,Yes,No,No
S00093,14,Non-binary,Grade 3,PhD,>150k,Public,Rural,91.1,84.1,Yes,No,Yes
S00094,16,Male,Grade 3,High School,100k-150k,Private,Rural,52.5,83.5,No,No,No
S00095,8,Male,Grade 8,Bachelor's,60k-100k,Private,Rural,96.1,82.6,No,No,Yes
S00096,16,Male,Grade 8,Master's,100k-150k,Public,Urban,96.4,89.9,Yes,Yes,Yes
S00097,10,Male,Grade 12,Master's,100k-150k,Public,Urban,84.5,74.8,Yes,No,No
S00098,6,Male,Grade 12,PhD,100k-150k,Private,Rural,89.3,87.8,Yes,No,Yes
S00099,8,Female,Grade 1,PhD,60k-100k,Public,Urban,85.1,70.8,Yes,No,No
S00100,14,Non-binary,Grade 9,High School,60k-100k,Private,Rural,55.8,73.8,No,Yes,No
S00101,6,Male,Grade 3,Bachelor's,30k-60k,Public,Rural,86.5,95.8,Yes,No,No
S00102,10,Non-binary,Grade 7,Master's,60k-100k,Public,Urban,83.8,91.2,Yes,No,Yes
S00103,8,Non-binary,Grade 8,Bachelor's,60k-100k,Public,Rural,99,90.8,Yes,Yes,No
S00104,12,Non-binary,Grade 8,Bachelor's,>150k,Private,Rural,72.9,73.9,Yes,No,Yes
S00105,13,Male,Grade 6,High School,30k-60k,Private,Rural,57.3,91,No,Yes,No
S00106,9,Male,Grade 10,PhD,30k-60k,Private,Rural,87.9,91.2,No,Yes,No
S00107,7,Non-binary,Grade 3,PhD,<30k,Public,Rural,88.8,79.2,Yes,No,No
S00108,16,Non-binary,Grade 3,PhD,<30k,Public,Urban,94.8,70.2,No,No,Yes
S00109,12,Female,Grade 9,PhD,<30k,Private,Urban,75.6,94.5,Yes,Yes,Yes
S00110,6,Non-binary,Grade 1,Master's,60k-100k,Public,Urban,63.4,99.9,No,No,No
S00111,7,Non-binary,Grade 3,Master's,60k-100k,Private,Rural,57.4,92.9,Yes,No,Yes
S00112,6,Non-binary,Grade 8,High School,60k-100k,Private,Urban,50.8,86,No,Yes,No
S00113,16,Non-binary,Grade 10,High School,60k-100k,Private,Rural,76.5,70.9,Yes,No,No
S00114,11,Male,Grade 11,High School,60k-100k,Private,Rural,93.8,82.7,Yes,No,Yes
S00115,9,Male,Grade 12,Bachelor's,30k-60k,Public,Urban,71.1,94.8,No,No,Yes
S00116,9,Non-binary,Grade 3,Master's,<30k,Public,Rural,55.4,87.4,Yes,Yes,No
S00117,12,Non-binary,Grade 1,PhD,30k-60k,Public,Rural,56.5,82.3,No,Yes,No
S00118,6,Female,Grade 9,Bachelor's,30k-60k,Public,Rural,73.8,73.5,No,Yes,Yes
S00119,15,Female,Grade 6,Bachelor's,100k-150k,Public,Rural,75.7,84,No,Yes,Yes
S00120,14,Non-binary,Grade 5,Master's,100k-150k,Private,Rural,70.3,81.8,No,Yes,Yes
S00121,10,Male,Grade 11,Bachelor's,30k-60k,Private,Rural,53.6,77.6,No,No,No
S00122,6,Male,Grade 7,PhD,100k-150k,Public,Rural,86.8,77.5,No,No,No
S00123,17,Female,Grade 12,PhD,30k-60k,Private,Urban,52.8,82.6,No,Yes,No
S00124,13,Female,Grade 12,High School,<30k,Public,Urban,70.3,91.3,Yes,Yes,Yes
S00125,16,Non-binary,Grade 6,Bachelor's,>150k,Private,Rural,54.3,82,No,No,No
S00126,15,Female,Grade 11,High School,<30k,Private,Urban,73.9,81.6,No,Yes,Yes
S00127,6,Female,Grade 11,Bachelor's,30k-60k,Public,Rural,82.5,70.4,No,No,Yes
S00128,16,Non-binary,Grade 3,PhD,>150k,Public,Urban,79.9,94.3,Yes,No,No
S00129,12,Male,Grade 3,High School,60k-100k,Public,Urban,61.8,81.1,No,No,No
S00130,12,Male,Grade 8,Bachelor's,<30k,Private,Rural,81,74.7,Yes,No,No
S00131,9,Non-binary,Grade 9,Bachelor's,30k-60k,Private,Rural,94.2,84.6,Yes,Yes,Yes
S00132,8,Female,Grade 3,Bachelor's,<30k,Public,Urban,79.6,98.3,Yes,Yes,Yes
S00133,16,Female,Grade 11,Bachelor's,60k-100k,Private,Urban,54.9,92.1,No,No,No
S00134,6,Female,Grade 7,High School,100k-150k,Private,Rural,97.8,85,No,Yes,Yes
S00135,12,Non-binary,Grade 7,PhD,>150k,Public,Rural,93.1,77.8,No,No,Yes
S00136,9,Male,Grade 1,Master's,30k-60k,Private,Rural,63.2,85.7,No,Yes,No
S00137,11,Male,Grade 1,Bachelor's,>150k,Private,Urban,78.7,82.9,Yes,No,Yes
S00138,13,Male,Grade 9,PhD,100k-150k,Public,Rural,84.2,89.3,Yes,Yes,Yes
S00139,15,Non-binary,Grade 11,PhD,>150k,Private,Rural,91.7,82.4,No,Yes,No
S00140,11,Non-binary,Grade 8,Master's,30k-60k,Private,Rural,77.4,89.7,Yes,No,No
S00141,14,Non-binary,Grade 4,High School,>150k,Public,Urban,59.7,92.5,Yes,Yes,Yes
S00142,6,Male,Grade 8,Master's,100k-150k,Public,Urban,76.1,92.4,Yes,No,Yes
S00143,6,Male,Grade 9,PhD,60k-100k,Public,Rural,90.3,97.7,Yes,Yes,No
S00144,8,Female,Grade 4,PhD,60k-100k,Private,Rural,76.1,93.2,No,No,Yes
S00145,14,Non-binary,Grade 5,High School,60k-100k,Public,Urban,87.4,96.8,Yes,Yes,No
S00146,7,Female,Grade 8,PhD,<30k,Private,Rural,79.8,94.4,No,No,Yes
S00147,9,Male,Grade 3,Master's,<30k,Private,Rural,95.2,74.8,Yes,No,Yes
S00148,10,Non-binary,Grade 7,Master's,60k-100k,Private,Rural,60.2,96.4,No,Yes,Yes
S00149,10,Non-binary,Grade 8,High School,60k-100k,Public,Rural,94.3,86.4,No,Yes,No
S00150,7,Non-binary,Grade 11,Bachelor's,30k-60k,Public,Urban,61.4,93.2,Yes,Yes,No
S00151,6,Male,Grade 6,High School,>150k,Public,Rural,66.8,73.2,Yes,No,No
S00152,12,Female,Grade 1,PhD,>150k,Private,Rural,70.5,89.7,Yes,No,Yes
S00153,8,Female,Grade 1,High School,60k-100k,Public,Urban,68.7,87.4,Yes,No,Yes
S00154,9,Male,Grade 10,PhD,100k-150k,Public,Urban,74.9,89.6,No,No,No
S00155,7,Male,Grade 12,PhD,>150k,Private,Urban,57,79.7,Yes,No,No
S00156,16,Non-binary,Grade 5,Master's,30k-60k,Public,Urban,74.7,84.8,No,No,No
S00157,6,Non-binary,Grade 5,Bachelor's,100k-150k,Public,Urban,92.5,91.8,No,Yes,Yes
S00158,9,Female,Grade 2,PhD,100k-150k,Public,Rural,67.7,73.9,Yes,Yes,Yes
S00159,6,Non-binary,Grade 3,Bachelor's,<30k,Private,Rural,83.6,85.8,Yes,No,No
S00160,7,Male,Grade 10,High School,60k-100k,Public,Urban,91,85.1,Yes,No,No
S00161,15,Non-binary,Grade 7,Bachelor's,100k-150k,Private,Rural,61.3,70.1,Yes,No,Yes
S00162,13,Non-binary,Grade 2,Master's,30k-60k,Public,Rural,91.1,89.3,No,Yes,No
S00163,17,Female,Grade 3,High School,<30k,Private,Urban,91.1,98,No,Yes,Yes
S00164,14,Non-binary,Grade 8,Master's,100k-150k,Private,Urban,58.2,71.8,Yes,No,No
S00165,14,Male,Grade 11,Master's,<30k,Public,Urban,67.9,94.8,Yes,No,No
S00166,16,Female,Grade 9,Bachelor's,100k-150k,Public,Urban,79.3,73,No,Yes,No
S00167,14,Male,Grade 6,Master's,30k-60k,Public,Urban,93,79.6,Yes,Yes,No
S00168,17,Male,Grade 5,High School,100k-150k,Public,Rural,60.7,85.2,Yes,Yes,Yes
S00169,14,Female,Grade 12,PhD,100k-150k,Private,Urban,73.5,94.8,No,Yes,No
S00170,16,Male,Grade 2,Bachelor's,100k-150k,Public,Rural,62.5,82.4,No,Yes,Yes
S00171,11,Male,Grade 9,Master's,100k-150k,Public,Rural,53.3,95.3,No,Yes,No
S00172,9,Female,Grade 10,High School,100k-150k,Private,Rural,61.2,74,Yes,No,No
S00173,14,Male,Grade 4,High School,>150k,Private,Rural,75.9,87.3,Yes,Yes,Yes
S00174,13,Female,Grade 12,High School,100k-150k,Private,Urban,93.4,79,No,No,Yes
S00175,8,Female,Grade 9,High School,100k-150k,Public,Urban,51.1,75.2,Yes,No,No
S00176,9,Non-binary,Grade 7,Bachelor's,30k-60k,Private,Urban,95.7,70.9,No,Yes,No
S00177,9,Male,Grade 5,Master's,>150k,Private,Rural,90.7,70.1,Yes,No,Yes
S00178,13,Female,Grade 6,Master's,60k-100k,Private,Urban,84.4,94.7,Yes,No,No
S00179,15,Male,Grade 11,PhD,<30k,Public,Urban,53.5,89.7,No,Yes,Yes
S00180,14,Non-binary,Grade 10,High School,<30k,Public,Urban,57.7,70.3,Yes,Yes,Yes
S00181,13,Non-binary,Grade 9,PhD,100k-150k,Public,Urban,50.5,78.3,Yes,Yes,No
S00182,14,Female,Grade 8,Bachelor's,<30k,Private,Rural,82.8,94.6,Yes,Yes,No
S00183,13,Non-binary,Grade 4,Bachelor's,<30k,Private,Urban,53,73.7,Yes,Yes,No
S00184,11,Female,Grade 1,Bachelor's,100k-150k,Private,Urban,71.4,77.5,Yes,Yes,Yes
S00185,15,Non-binary,Grade 7,Master's,100k-150k,Public,Rural,61.5,94.1,No,Yes,No
S00186,8,Male,Grade 12,Master's,100k-150k,Public,Rural,97.3,77.6,Yes,No,No
S00187,17,Female,Grade 1,Master's,<30k,Private,Rural,99.1,99.8,No,Yes,Yes
S00188,14,Female,Grade 10,Master's,30k-60k,Public,Rural,80.5,82.1,Yes,No,No
S00189,10,Non-binary,Grade 7,High School,60k-100k,Private,Rural,79.5,77.7,No,Yes,No
S00190,8,Female,Grade 6,Bachelor's,100k-150k,Private,Rural,69.1,93.7,Yes,Yes,No
S00191,13,Female,Grade 1,Master's,60k-100k,Private,Urban,74.7,70.6,Yes,Yes,Yes
S00192,7,Non-binary,Grade 9,High School,>150k,Private,Urban,89.8,72.8,Yes,No,No
S00193,15,Male,Grade 2,Master's,100k-150k,Public,Rural,65.4,97.5,Yes,Yes,Yes
S00194,17,Non-binary,Grade 11,High School,<30k,Public,Rural,56,76.2,Yes,Yes,No
S00195,17,Female,Grade 7,Bachelor's,>150k,Private,Urban,81.8,74.1,Yes,No,No
S00196,6,Male,Grade 10,Master's,30k-60k,Private,Urban,83,80.3,No,No,Yes
S00197,10,Non-binary,Grade 4,Bachelor's,100k-150k,Private,Urban,75.8,74,No,Yes,No
S00198,11,Non-binary,Grade 7,PhD,>150k,Private,Urban,75.1,79.1,No,No,Yes
S00199,17,Non-binary,Grade 1,PhD,30k-60k,Public,Urban,92.2,79.8,Yes,Yes,Yes
S00200,8,Non-binary,Grade 6,High School,60k-100k,Public,Rural,87.2,97.4,Yes,Yes,Yes
S00201,8,Female,Grade 10,PhD,30k-60k,Public,Urban,99.6,82.1,No,Yes,Yes
S00202,10,Non-binary,Grade 10,High School,100k-150k,Public,Urban,66,85.6,No,No,Yes
S00203,15,Male,Grade 1,Master's,>150k,Private,Urban,66.4,82.2,Yes,Yes,Yes
S00204,10,Non-binary,Grade 4,Master's,30k-60k,Private,Rural,97.3,94.6,Yes,Yes,Yes
S00205,11,Male,Grade 1,High School,>150k,Public,Urban,74.4,85.7,No,No,No
S00206,17,Female,Grade 4,High School,>150k,Private,Urban,95.8,85.1,Yes,Yes,Yes
S00207,10,Male,Grade 11,Master's,30k-60k,Public,Urban,63.6,75.7,No,No,Yes
S00208,13,Male,Grade 9,High School,60k-100k,Public,Urban,76.7,94.7,Yes,Yes,No
S00209,12,Female,Grade 6,High School,>150k,Private,Urban,59,71.4,No,Yes,Yes
S00210,15,Female,Grade 11,Bachelor's,>150k,Private,Rural,95.5,100,Yes,Yes,No
S00211,11,Male,Grade 10,Master's,60k-100k,Private,Urban,87.1,84.2,Yes,No,Yes
S00212,12,Female,Grade 7,High School,>150k,Private,Rural,75.3,71.2,Yes,Yes,No
S00213,6,Male,Grade 12,Master's,60k-100k,Private,Rural,73.8,80.9,No,Yes,Yes
S00214,14,Male,Grade 9,Bachelor's,60k-100k,Private,Rural,96,75.3,No,No,Yes
S00215,12,Non-binary,Grade 6,High School,>150k,Private,Urban,59.8,94.5,Yes,Yes,Yes
S00216,16,Non-binary,Grade 3,High School,60k-100k,Private,Rural,86.3,83.4,No,Yes,Yes
S00217,7,Female,Grade 9,Bachelor's,100k-150k,Private,Urban,95.3,85.2,Yes,No,Yes
S00218,13,Non-binary,Grade 10,Bachelor's,60k-100k,Private,Urban,54.5,88.9,No,No,No
S00219,8,Female,Grade 2,Master's,30k-60k,Private,Rural,77.8,72.9,Yes,Yes,Yes
S00220,8,Non-binary,Grade 7,High School,>150k,Private,Urban,71.9,85.1,Yes,Yes,Yes
S00221,6,Non-binary,Grade 9,Master's,<30k,Public,Rural,94,75.6,Yes,No,Yes
S00222,9,Male,Grade 2,Bachelor's,<30k,Private,Urban,93.8,90.1,No,Yes,Yes
S00223,7,Non-binary,Grade 11,PhD,100k-150k,Private,Urban,70.2,94.7,No,No,No
S00224,11,Male,Grade 12,PhD,<30k,Private,Rural,88.5,81.6,No,No,Yes
S00225,16,Male,Grade 2,Master's,30k-60k,Public,Rural,99.3,94.1,Yes,No,Yes
S00226,8,Non-binary,Grade 10,Master's,>150k,Private,Rural,89.4,87,No,No,No
S00227,17,Non-binary,Grade 12,Master's,30k-60k,Private,Rural,74.1,92.9,Yes,No,Yes
S00228,12,Male,Grade 4,PhD,<30k,Private,Rural,89.5,83.6,Yes,No,Yes
S00229,8,Female,Grade 7,High School,30k-60k,Private,Rural,54.6,84.3,No,Yes,No
S00230,16,Female,Grade 2,Bachelor's,<30k,Public,Urban,86.6,91.4,Yes,No,No
S00231,15,Non-binary,Grade 7,Master's,<30k,Public,Rural,78,88.7,Yes,No,No
S00232,12,Non-binary,Grade 4,Master's,100k-150k,Private,Rural,61.7,81,Yes,No,No
S00233,17,Non-binary,Grade 8,Bachelor's,30k-60k,Private,Rural,64.5,96.8,Yes,Yes,Yes
S00234,9,Non-binary,Grade 2,Master's,60k-100k,Public,Urban,93.4,81.3,Yes,Yes,Yes
S00235,12,Non-binary,Grade 4,Bachelor's,>150k,Public,Rural,82.6,99.9,Yes,Yes,No
S00236,13,Female,Grade 8,Bachelor's,<30k,Private,Urban,89.9,83.7,No,Yes,No
S00237,17,Female,Grade 8,Bachelor's,100k-150k,Public,Urban,70,70.1,No,Yes,Yes
S00238,14,Non-binary,Grade 10,Bachelor's,30k-60k,Private,Rural,97.1,86.9,Yes,Yes,Yes
S00239,13,Male,Grade 12,High School,100k-150k,Private,Urban,63.7,83.4,No,Yes,Yes
S00240,15,Male,Grade 4,Master's,>150k,Public,Urban,86.7,81.6,No,Yes,Yes
S00241,14,Male,Grade 10,Master's,60k-100k,Private,Rural,72,83.8,No,Yes,No
S00242,12,Male,Grade 5,Bachelor's,100k-150k,Private,Urban,85.5,94.3,Yes,Yes,Yes
S00243,6,Male,Grade 2,Master's,<30k,Private,Rural,65,88.5,No,No,No
S00244,6,Non-binary,Grade 12,Bachelor's,>150k,Public,Rural,84.2,97.9,Yes,Yes,Yes
S00245,17,Female,Grade 3,PhD,60k-100k,Public,Rural,94.8,96.5,Yes,No,Yes
S00246,13,Non-binary,Grade 3,High School,<30k,Private,Rural,74.5,78.4,No,No,Yes
S00247,6,Non-binary,Grade 10,PhD,30k-60k,Public,Rural,70.7,75.5,Yes,No,No
S00248,7,Male,Grade 2,High School,60k-100k,Public,Rural,62.7,97.6,No,No,Yes
S00249,9,Female,Grade 3,Master's,60k-100k,Private,Urban,55.2,97.9,No,Yes,Yes
S00250,7,Non-binary,Grade 5,Master's,<30k,Public,Rural,58.1,88.1,No,No,No
S00251,16,Non-binary,Grade 2,Bachelor's,60k-100k,Private,Rural,54.6,97.4,No,Yes,No
S00252,8,Non-binary,Grade 1,Bachelor's,60k-100k,Public,Urban,55.1,81.8,No,Yes,Yes
S00253,12,Non-binary,Grade 4,PhD,100k-150k,Private,Urban,96.4,75,No,No,No
S00254,11,Non-binary,Grade 12,High School,30k-60k,Private,Rural,76,80.4,No,No,Yes
S00255,13,Non-binary,Grade 2,High School,30k-60k,Private,Urban,64.3,76.8,Yes,No,Yes
S00256,16,Male,Grade 1,Bachelor's,60k-100k,Public,Rural,95.1,91.2,No,No,No
S00257,16,Non-binary,Grade 8,High School,<30k,Private,Urban,84.5,98.8,No,No,Yes
S00258,7,Female,Grade 3,PhD,60k-100k,Private,Urban,57,84.4,No,Yes,No
S00259,10,Female,Grade 9,Bachelor's,>150k,Private,Urban,83,91.8,Yes,No,No
S00260,16,Non-binary,Grade 9,Master's,<30k,Private,Urban,64.1,86.2,Yes,No,No
S00261,12,Non-binary,Grade 7,PhD,30k-60k,Public,Urban,52.6,81,Yes,No,No
S00262,15,Female,Grade 3,PhD,60k-100k,Private,Rural,58.9,79.8,No,Yes,Yes
S00263,17,Female,Grade 1,High School,>150k,Public,Rural,63.9,75.2,No,No,Yes
S00264,10,Non-binary,Grade 7,Master's,30k-60k,Private,Urban,52.5,71.3,No,No,Yes
S00265,17,Female,Grade 1,Master's,<30k,Private,Urban,85.9,75.4,No,Yes,No
S00266,11,Male,Grade 5,Master's,>150k,Private,Urban,64.3,77.8,Yes,No,No
S00267,10,Non-binary,Grade 5,PhD,30k-60k,Private,Rural,65,79.3,Yes,No,No
S00268,9,Female,Grade 4,Master's,>150k,Private,Urban,56.2,80.5,Yes,No,Yes
S00269,9,Male,Grade 2,Bachelor's,<30k,Private,Rural,73.4,83,Yes,Yes,No
S00270,7,Non-binary,Grade 11,High School,100k-150k,Public,Rural,76.2,73.3,No,Yes,No
S00271,11,Male,Grade 3,PhD,>150k,Private,Urban,60.7,73.6,No,No,No
S00272,17,Female,Grade 6,PhD,100k-150k,Public,Rural,94.1,99.7,Yes,No,Yes
S00273,6,Non-binary,Grade 5,High School,100k-150k,Private,Rural,81.1,79.2,Yes,Yes,Yes
S00274,15,Male,Grade 11,PhD,>150k,Public,Urban,51,83.4,No,No,Yes
S00275,8,Non-binary,Grade 2,Bachelor's,60k-100k,Private,Urban,82.9,89.3,Yes,Yes,No
S00276,16,Male,Grade 4,High School,100k-150k,Private,Rural,74.8,72.1,No,No,No
S00277,16,Female,Grade 12,High School,<30k,Private,Urban,71.8,92.7,No,No,No
S00278,17,Non-binary,Grade 9,Master's,100k-150k,Private,Rural,92.7,81.5,No,No,Yes
S00279,17,Female,Grade 9,Master's,>150k,Private,Urban,95.8,72.4,No,No,No
